sku;productName;picture;pictureBig;brand;price;crossedOverPrice;discountRate;ratingCount;ratingScore;productUrl;Yaş Seçimi;Kategori;Fiyat Aralığı;ShipmentDay
GYOZGEW65020-07;Versace Eşarp;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12014084.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12014084.jpg;Versace 19.69;29,99;89,99;67;0;0;http://www.hepsiburada.com/versace-esarp-p-GYOZGEW65020-07;46 Yaş ve Üzeri;Giyim, Aksesuar;0TL - 50TL;0
DKNOM125RP1008;Gift Cloud Anne Kız Figürlü Biblo;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_12106968.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_12106968.jpg;Gift Cloud;576,90;808,44;29;0;0;http://www.hepsiburada.com/gift-cloud-anne-kiz-figurlu-biblo-p-DKNOM125RP1008;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;250TL üzerinde;15
BS600878-KIRMIZI;Samsonite Network 2 SP 16" Yakut Kırmızı Notebook Çantası 82D-10-004;http://images.hepsiburada.net/assets/Bilgisayar/200/Bilgisayar_12195721.jpg;http://images.hepsiburada.net/assets/Bilgisayar/500/Bilgisayar_12195721.jpg;Samsonite;198,99;198,99;0;0;0;http://www.hepsiburada.com/samsonite-network-2-sp-16-yakut-kirmizi-notebook-cantasi-82d-10-004-p-BS600878-KIRMIZI;36-45 Yaş;Bilgisayar;150TL - 250TL;0
BS600879-KIRMIZI;Samsonite Network 2 SP 16" Yakut Kırmızı Notebook Sırt Çantası 82D-10-007;http://images.hepsiburada.net/assets/Bilgisayar/200/Bilgisayar_12195798.jpg;http://images.hepsiburada.net/assets/Bilgisayar/500/Bilgisayar_12195798.jpg;Samsonite;244,89;244,89;0;0;0;http://www.hepsiburada.com/samsonite-network-2-sp-16-yakut-kirmizi-notebook-sirt-cantasi-82d-10-007-p-BS600879-KIRMIZI;25-35 Yaş;Bilgisayar;150TL - 250TL;0
GYMDN133542-1;Basic Tunik- Lacivert - Everyday Basic;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_11457366.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_11457366.jpg;Everyday Basic;19,9;59,9;67;0;0;http://www.hepsiburada.com/basic-tunik-lacivert-everyday-basic-p-GYMDN133542-1;25-35 Yaş;Giyim, Aksesuar;0TL - 50TL;0
GYYR6YKSL1017XRST;Yargıcı Şal;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12301952.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12301952.jpg;Yargıcı;159,9;159,9;0;0;0;http://www.hepsiburada.com/yargici-sal-p-GYYR6YKSL1017XRST;36-45 Yaş;Giyim, Aksesuar;150TL - 250TL;0
AILEMOTBM2662LXL;Motherway Asos Asımetrık;http://images.hepsiburada.net/assets/Oyuncak/200/Oyuncak_12303365.jpg;http://images.hepsiburada.net/assets/Oyuncak/500/Oyuncak_12303365.jpg;Motherway;39,98;39,98;0;0;0;http://www.hepsiburada.com/motherway-asos-asimetrik-p-AILEMOTBM2662LXL;25-35 Yaş;Anne, Bebek, Oyuncak;0TL - 50TL;3
HRZDAJJ011712;Fivorno Perla Serisi Krem Organze İnci Başlıklı Abajur;http://images.hepsiburada.net/assets/Hirdavat/200/Hirdavat_12304366.jpg;http://images.hepsiburada.net/assets/Hirdavat/500/Hirdavat_12304366.jpg;Fivorno;109,91;159,90;31;0;0;http://www.hepsiburada.com/fivorno-perla-serisi-krem-organze-inci-baslikli-abajur-p-HRZDAJJ011712;46 Yaş ve Üzeri;Yapı Market, Hırdavat;100TL - 150TL;7
HRZDAMJ010134;Fivorno Bacchetta Serisi Mor Organze Mor Ponpon Başlıklı Mor Abajur;http://images.hepsiburada.net/assets/Hirdavat/200/Hirdavat_12304410.jpg;http://images.hepsiburada.net/assets/Hirdavat/500/Hirdavat_12304410.jpg;Fivorno;109,91;159,90;31;0;0;http://www.hepsiburada.com/fivorno-bacchetta-serisi-mor-organze-mor-ponpon-baslikli-mor-abajur-p-HRZDAMJ010134;36-45 Yaş;Yapı Market, Hırdavat;100TL - 150TL;7
MBMONRETRO1019G;Mattrest Retro Baza&Başlık Set Çift Kişilik 150X200 Gri;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_12323991.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_12323991.jpg;Mattrest ;599,90;1109,90;46;0;0;http://www.hepsiburada.com/mattrest-retro-baza-baslik-set-cift-kisilik-150x200-gri-p-MBMONRETRO1019G;36-45 Yaş;Mobilya, Dekorasyon;250TL üzerinde;3
